window,test,bear_flat_days,soft_drawdown,dd_ewma_span,soft_drawdown_scope,train_sharpe,oos_sharpe
1,2023-01-03~2023-04-03,0,True,5,bear,-0.57,0.35
2,2023-04-03~2023-07-03,15,True,40,all,0.39,2.35
3,2023-07-03~2023-10-03,5,False,5,bear,0.58,-1.91
4,2023-10-03~2024-01-03,5,True,40,all,1.44,0.95
5,2024-01-03~2024-04-03,5,True,5,bear,1.59,0.77
6,2024-04-03~2024-07-03,5,False,5,bear,2.1,3.58
7,2024-07-03~2024-10-03,5,True,5,bear,0.88,-2.17
8,2024-10-03~2025-01-03,5,False,5,bear,1.66,3.03
9,2025-01-03~2025-04-03,0,False,5,bear,2.03,-4.19
10,2025-04-03~2025-07-03,5,False,5,bear,1.91,-2.87
11,2025-07-03~2025-10-03,0,True,5,bear,0.96,1.15
12,2025-10-03~2026-01-03,45,False,5,bear,1.63,-0.54
13,2026-01-03~2026-04-03,0,True,5,bear,0.31,-1.07
14,2026-04-03~2026-06-18,5,True,40,all,-0.11,1.21
